Food Name,region,diet_type,ingredients,calories,carbs,fat,protein
Phaanu,Uttarakhand,Veg,None,300,40,10,15
Kumaoni Bhatt,Uttarakhand,Veg,None,320,45,12,10
Kachma,Uttarakhand,Non-Veg,None,350,30,20,18
Kumaoni Saag,Uttarakhand,Veg,None,180,20,5,7
Ghar Ka Achaar,Uttarakhand,Veg,None,100,10,4,6
Kundru,Uttarakhand,Veg,None,200,25,8,6
Pindale,Uttarakhand,Veg,None,220,30,8,10
Pahadi Daal,Uttarakhand,Veg,None,250,35,10,12
Dum Aloo,Uttarakhand,Veg,None,320,45,12,15
Kandali Saag,Uttarakhand,Veg,None,190,20,5,7
Garhwal Keema,Uttarakhand,Non-Veg,None,400,30,25,20
Jhangora Ki Kheer,Uttarakhand,Veg,Dairy,350,50,15,20
Aloo Tamatar,Uttarakhand,Veg,None,250,30,8,10
Chana Madra,Uttarakhand,Veg,None,300,40,10,12
Raita Pulao,Uttarakhand,Veg,Dairy,350,50,15,20
Bedu Roti,Uttarakhand,Veg,None,280,45,8,8
Kumaoni Baadi,Uttarakhand,Veg,None,250,35,12,10
Garhwal Meat Curry,Uttarakhand,Non-Veg,None,400,30,25,18
Ragi Porridge,Uttarakhand,Veg,None,200,30,6,5
Pulao,Uttarakhand,Veg,None,300,40,10,8
Aloo Ghatta,Uttarakhand,Veg,None,270,35,10,12
Pahadi Samosa,Uttarakhand,Veg,None,250,30,12,10
Kumaoni Pulao,Uttarakhand,Veg,None,350,50,15,20
Chana Chaat,Uttarakhand,Veg,None,200,30,6,8
Gahat Ki Khichdi,Uttarakhand,Veg,None,300,40,10,15
Jhangora Pulao,Uttarakhand,Veg,None,320,45,12,18
Kandali Saag,Uttarakhand,Veg,None,220,30,8,10
Garhwal Saag,Uttarakhand,Veg,None,200,25,6,8
Bhatt Ki Dal,Uttarakhand,Veg,None,280,40,12,10
Aloo Tamatar Curry,Uttarakhand,Veg,None,250,30,8,12
Methi Thepla,Uttarakhand,Veg,None,300,40,10,12
Chaaula,Uttarakhand,Veg,None,250,35,10,12
Pindi Chana,Uttarakhand,Veg,None,300,40,12,15
Daal Bhat,Uttarakhand,Veg,None,350,50,15,20
Sooji Halwa,Uttarakhand,Veg,Dairy,400,50,20,25
Methi Thepla,Uttarakhand,Veg,None,300,40,12,14
Kumaoni Chutney,Uttarakhand,Veg,None,100,10,4,6
Jhangora Kheer,Uttarakhand,Veg,Dairy,350,50,15,20
Pahadi Rajma,Uttarakhand,Veg,None,300,45,12,10
Bedu Ki Roti,Uttarakhand,Veg,None,280,45,8,6
Aloo Baingan,Uttarakhand,Veg,None,250,35,8,10
Kachori,Uttarakhand,Veg,None,300,40,15,12
Singori,Uttarakhand,Veg,Dairy,200,25,8,10
Chana Masala,Uttarakhand,Veg,None,300,40,10,15
Kandali Saag,Uttarakhand,Veg,None,200,25,5,8
Aloo Keema,Uttar Pradesh,Non-Veg,None,350,20,20,15
Puri Aloo,Uttar Pradesh,Veg,Gluten,400,50,18,8
Chole Bhature,Uttar Pradesh,Veg,Gluten,600,80,25,12
Tandoori Chicken,Uttar Pradesh,Non-Veg,None,400,10,25,30
Paneer Tikka,Uttar Pradesh,Veg,Dairy,300,12,20,15
Dal Makhani,Uttar Pradesh,Veg,Dairy,350,40,15,12
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22,10
Raita,Uttar Pradesh,Veg,Dairy,150,8,8,5
Kofta Curry,Uttar Pradesh,Veg,Dairy,400,30,25,12
Aloo Chaat,Uttar Pradesh,Veg,None,250,35,10,5
Biryani,Uttar Pradesh,Non-Veg,None,500,60,20,25
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,45,15,10
Pulao,Uttar Pradesh,Veg,None,300,50,12,8
Samosa,Uttar Pradesh,Veg,Gluten,400,50,20,8
Rogan Josh,Uttar Pradesh,Non-Veg,None,500,15,30,35
Bhindi Masala,Uttar Pradesh,Veg,None,200,20,10,5
Palak Paneer,Uttar Pradesh,Veg,Dairy,350,20,22,15
Aloo Paratha,Uttar Pradesh,Veg,Gluten,400,50,15,8
Kheer,Uttar Pradesh,Veg,Dairy,300,40,10,15
Jalebi,Uttar Pradesh,Veg,Gluten,350,70,15,20
Mathri,Uttar Pradesh,Veg,Gluten,450,60,22,10
Baida Roti,Uttar Pradesh,Non-Veg,Gluten,500,55,25,20
Petha,Uttar Pradesh,Veg,None,200,50,0,5
Mutton Korma,Uttar Pradesh,Non-Veg,None,600,10,40,35
Tikki Chaat,Uttar Pradesh,Veg,Gluten,350,45,15,10
Chana Masala,Uttar Pradesh,Veg,None,400,45,12,15
Gulab Jamun,Uttar Pradesh,Veg,Dairy,300,60,15,10
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20,15
Chicken Kebab,Uttar Pradesh,Non-Veg,None,400,5,25,30
Rasam,Uttar Pradesh,Veg,None,150,15,5,2
Dal Tadka,Uttar Pradesh,Veg,None,300,40,10,15
Kofta Biryani,Uttar Pradesh,Veg,Dairy,550,50,25,15
Murg Malai Tikka,Uttar Pradesh,Non-Veg,Dairy,450,10,30,25
Jeera Rice,Uttar Pradesh,Veg,None,250,55,8,4
Dahi Bhalla,Uttar Pradesh,Veg,Dairy,350,50,15,12
Mutton Seekh Kebab,Uttar Pradesh,Non-Veg,None,500,8,30,30
Chole,Uttar Pradesh,Veg,None,400,45,10,15
Methi Paratha,Uttar Pradesh,Veg,Gluten,350,45,12,10
Khasta Kachori,Uttar Pradesh,Veg,Gluten,450,60,22,12
Dum Aloo,Uttar Pradesh,Veg,None,300,35,15,8
Shahi Paneer,Uttar Pradesh,Veg,Dairy,400,25,20,15
Samosa Chaat,Uttar Pradesh,Veg,Gluten,400,55,20,10
Chicken Curry,Uttar Pradesh,Non-Veg,None,500,15,30,35
Bundi Raita,Uttar Pradesh,Veg,Dairy,200,12,8,6
Paneer Butter Masala,Uttar Pradesh,Veg,Dairy,450,20,25,15
Kachori Aloo,Uttar Pradesh,Veg,Gluten,500,60,22,10
Bhindi Do Pyaza,Uttar Pradesh,Veg,None,200,20,10,5
Litti Chokha,Uttar Pradesh,Veg,Gluten,450,60,15,12
Tandoori Paneer,Uttar Pradesh,Veg,Dairy,300,12,20,15
Mutton Nihari,Uttar Pradesh,Non-Veg,None,600,15,35,40
Samosa Pav,Uttar Pradesh,Veg,Gluten,500,60,20,10
Chicken Biryani,Uttar Pradesh,Non-Veg,None,550,65,25,30
Vegetable Pulao,Uttar Pradesh,Veg,None,350,55,10,8
Chole Pulao,Uttar Pradesh,Veg,None,400,60,12,15
Masoor Dal,Uttar Pradesh,Veg,None,300,40,10,15
Bhindi Fry,Uttar Pradesh,Veg,None,200,25,10,5
Rawa Kesari,Uttar Pradesh,Veg,None,350,60,12,15
Vegetable Korma,Uttar Pradesh,Veg,Dairy,400,30,20,15
Mutton Pulao,Uttar Pradesh,Non-Veg,None,500,60,20,25
Tandoori Roti,Uttar Pradesh,Veg,Gluten,250,50,5,6
Paneer Pakora,Uttar Pradesh,Veg,Dairy,350,25,20,12
Aloo Tamatar,Uttar Pradesh,Veg,None,250,30,8,5
Chicken Shawarma,Uttar Pradesh,Non-Veg,None,500,20,30,25
Methi Malai Chicken,Uttar Pradesh,Non-Veg,Dairy,450,15,25,30
Vegetable Cutlet,Uttar Pradesh,Veg,Gluten,300,35,12,8
Paneer Korma,Uttar Pradesh,Veg,Dairy,400,20,22,15
Roti,Uttar Pradesh,Veg,Gluten,150,30,3,4
Chole Tikki,Uttar Pradesh,Veg,Gluten,350,45,15,10
Vegetable Biryani,Uttar Pradesh,Veg,None,400,60,15,10
Palak Chole,Uttar Pradesh,Veg,None,350,35,10,15
Murg Pulao,Uttar Pradesh,Non-Veg,None,550,65,25,30
Khichdi,Uttar Pradesh,Veg,None,300,50,8,10
Kachori Chaat,Uttar Pradesh,Veg,Gluten,450,60,22,12
Methi Chicken,Uttar Pradesh,Non-Veg,None,400,15,30,25
Paneer Burji,Uttar Pradesh,Veg,Dairy,350,15,20,25
Vegetable Curry,Uttar Pradesh,Veg,None,300,35,15,8
Chicken Saag,Uttar Pradesh,Non-Veg,None,500,10,35,30
Gatte Ki Sabzi,Uttar Pradesh,Veg,Gluten,400,30,20,12
Mutton Tikka,Uttar Pradesh,Non-Veg,None,500,12,30,35
Vegetable Dosa,Uttar Pradesh,Veg,Gluten,350,50,15,10
Bhindi Raita,Uttar Pradesh,Veg,Dairy,200,15,8,6
Aloo Gobi,Uttar Pradesh,Veg,None,250,30,10,8
Chicken Pulao,Uttar Pradesh,Non-Veg,None,550,65,25,30
Vegetable Soup,Uttar Pradesh,Veg,None,150,20,5,3
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,10,15
Kashmiri Dum Aloo,Uttar Pradesh,Veg,None,400,40,15,8
Prawn Masala,Uttar Pradesh,Non-Veg,None,500,15,30,35
Dahi Puri,Uttar Pradesh,Veg,Dairy,250,30,10,6
Aloo Methi,Uttar Pradesh,Veg,None,250,30,8,5
Mutton Curry,Uttar Pradesh,Non-Veg,None,600,15,35,40
Vegetable Idli,Uttar Pradesh,Veg,None,250,30,5,6
Chana Chaat,Uttar Pradesh,Veg,None,300,40,10,12
Methi Malai Paneer,Uttar Pradesh,Veg,Dairy,400,20,22,15
Rawa Upma,Uttar Pradesh,Veg,Gluten,300,50,10,8
Chicken Pakora,Uttar Pradesh,Non-Veg,None,400,10,25,30
Vegetable Biryani,Uttar Pradesh,Veg,None,400,55,12,10
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22,10
Mutton Rogan Josh,Uttar Pradesh,Non-Veg,None,600,15,35,40
Palak Dal,Uttar Pradesh,Veg,None,300,40,10,12
Paneer Tikka Masala,Uttar Pradesh,Veg,Dairy,400,25,20,15
Tandoori Naan,Uttar Pradesh,Veg,Gluten,300,60,5,7
Aloo Palak,Uttar Pradesh,Veg,None,250,30,12,6
Chicken Tikka Masala,Uttar Pradesh,Non-Veg,Dairy,500,20,30,35
Vegetable Pakora,Uttar Pradesh,Veg,Gluten,350,30,20,15
Dal Chawal,Uttar Pradesh,Veg,None,350,55,8,15
Vegetable Kofta,Uttar Pradesh,Veg,Dairy,400,30,20,15
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,12,15
Paneer Lababdar,Uttar Pradesh,Veg,Dairy,450,20,25,15
Mutton Shami Kebab,Uttar Pradesh,Non-Veg,None,500,12,30,25
Aloo Jeera,Uttar Pradesh,Veg,None,250,30,8,5
Chicken Vindaloo,Uttar Pradesh,Non-Veg,None,600,15,35,40
Rajma,Uttar Pradesh,Veg,None,350,45,10,15
Chicken Korma,Uttar Pradesh,Non-Veg,Dairy,500,15,30,25
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20,15
Mutton Biryani,Uttar Pradesh,Non-Veg,None,500,60,20,25
Chicken Tikka,Uttar Pradesh,Non-Veg,None,400,15,25,30
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,50,10,8
Vegetable Jalfrezi,Uttar Pradesh,Veg,None,300,35,10,10
Dal Tadka,Uttar Pradesh,Veg,None,350,45,10,15
Aloo Baingan,Uttar Pradesh,Veg,None,300,35,10,8
Rajma Chawal,Uttar Pradesh,Veg,None,350,50,8,15
Chicken Curry,Uttar Pradesh,Non-Veg,None,600,15,35,40
Chicken Seekh Kebab,Uttar Pradesh,Non-Veg,None,400,20,30,25
Mutton Tikka Masala,Uttar Pradesh,Non-Veg,None,500,15,30,35
Mui Borok,Tripura,Non-Veg,None,200,15,10,25
Kachri,Tripura,Veg,None,150,20,5,8
Bamboo Shoot Curry,Tripura,Veg,None,180,18,8,10
Mangsor Ruti,Tripura,Non-Veg,None,220,25,12,18
Aloo-Kumura,Tripura,Veg,None,170,22,7,9
Chak-So,Tripura,Non-Veg,None,240,28,15,20
Mithing,Tripura,Veg,Nuts,200,30,8,25
Kharang,Tripura,Non-Veg,None,260,20,18,22
Gahat Dal,Tripura,Veg,None,190,25,6,14
Hawaitho,Tripura,Non-Veg,None,230,24,14,20
Tarela,Tripura,Veg,None,180,15,10,12
Kumura Ruti,Tripura,Veg,None,200,20,8,15
Ting Gaar,Tripura,Non-Veg,None,210,22,12,18
Panch Phoran Aloo,Tripura,Veg,None,190,18,7,14
Lungba,Tripura,Non-Veg,None,250,25,16,20
Bamboo Shoot Pickle,Tripura,Veg,None,180,14,5,12
Wang Roti,Tripura,Veg,None,210,24,10,16
Bhapa Ilish,Tripura,Non-Veg,None,240,20,15,22
Gagri,Tripura,Non-Veg,None,220,18,12,20
Mula Roti,Tripura,Veg,None,200,23,8,12
Ilish Bhaja,Tripura,Non-Veg,None,230,25,14,18
Chingri Masala,Tripura,Non-Veg,None,260,22,16,20
Aloo Kachri,Tripura,Veg,None,190,20,6,12
Kumura Bhaji,Tripura,Veg,None,170,18,5,10
Kharam,Tripura,Non-Veg,None,250,22,14,18
Kachri Bharta,Tripura,Veg,None,180,22,8,14
Bhapa Mango,Tripura,Veg,None,160,25,7,10
Pora,Tripura,Veg,None,180,20,9,12
Tamuli,Tripura,Veg,None,200,15,8,10
Poro,Tripura,Veg,None,190,22,7,14
Moga,Tripura,Non-Veg,None,220,28,16,20
Kuchara,Tripura,Non-Veg,None,240,30,18,22
Gagri Curry,Tripura,Non-Veg,None,230,25,14,20
Fing Roti,Tripura,Veg,None,190,20,7,12
Chamcham,Tripura,Veg,Dairy,210,25,8,20
Chokha,Tripura,Veg,None,200,22,9,15
Pani Puri,Tripura,Veg,Gluten,210,30,10,20
Thukpa,Tripura,Veg,None,220,28,12,18
Moukok,Tripura,Non-Veg,None,240,20,15,22
Dheki,Tripura,Veg,None,180,18,7,14
Bamboo Shoot Soup,Tripura,Veg,None,170,20,6,12
Bara,Tripura,Veg,None,190,22,8,15
Hawaitho Bharta,Tripura,Non-Veg,None,230,24,14,20
Aloo Curry,Tripura,Veg,None,200,24,7,14
Mitha Bhaja,Tripura,Veg,None,170,18,6,12
Ruti,Tripura,Veg,None,190,22,8,15
Kharan Roti,Tripura,Veg,None,200,20,9,14
Mula Bharta,Tripura,Veg,None,180,22,7,12
Tarela Bharta,Tripura,Veg,None,190,20,8,14
Masa Curry,Tripura,Non-Veg,None,250,25,15,20
Kachri Bhaji,Tripura,Veg,None,170,20,6,10
Bamboo Shoot Salad,Tripura,Veg,None,150,15,5,8
Lungi,Tripura,Veg,None,180,18,7,12
Gakhri,Tripura,Non-Veg,None,230,22,14,18
Fried Ilish,Tripura,Non-Veg,None,240,28,16,22
Mithi Kachri,Tripura,Veg,Nuts,200,25,8,20
Bamboo Shoot Rice,Tripura,Veg,None,200,28,7,12
Panch Phoran Bharta,Tripura,Veg,None,190,20,6,15
Pora Bhaji,Tripura,Veg,None,180,22,7,12
Dheki Bharta,Tripura,Veg,None,200,24,8,14
Thukpa Curry,Tripura,Veg,None,220,30,12,18
Moukok Bharta,Tripura,Non-Veg,None,250,25,15,22
Kharam Bhaji,Tripura,Non-Veg,None,230,20,14,18
Aloo Bharta,Tripura,Veg,None,180,22,8,12
Bamboo Shoot Pulao,Tripura,Veg,None,210,28,9,14
Kachri Masala,Tripura,Veg,None,190,20,6,12
Ting Gaar Bharta,Tripura,Non-Veg,None,230,24,14,20
Fried Bamboo Shoot,Tripura,Veg,None,200,18,8,14
Aloo Gachri,Tripura,Veg,None,170,20,7,12
Bamboo Shoot Fry,Tripura,Veg,None,180,22,6,10
Mangsor Bharta,Tripura,Non-Veg,None,220,25,12,18
Kachri Curry,Tripura,Veg,None,190,22,8,14
Pachra,Tripura,Veg,None,200,24,9,12
Ilish Curry,Tripura,Non-Veg,None,240,28,16,20
Chingri Bharta,Tripura,Non-Veg,None,250,20,18,22
Mithing Bharta,Tripura,Veg,Nuts,200,25,7,20
Pora Curry,Tripura,Veg,None,190,22,8,12
Mithing Masala,Tripura,Veg,Nuts,210,30,9,22
Bhapa Kachri,Tripura,Veg,None,200,28,7,15
Pachra Bhaji,Tripura,Veg,None,180,20,6,12
Gahat Bharta,Tripura,Veg,None,190,22,8,14
Chakso Bharta,Tripura,Non-Veg,None,240,25,16,22
Gahar Roti,Tripura,Veg,None,210,24,9,16
Pora Bharta,Tripura,Veg,None,200,22,8,12
Tarela Curry,Tripura,Veg,None,190,20,7,14
Mithi Bhaji,Tripura,Veg,Nuts,210,30,8,20
Chingri Curry,Tripura,Non-Veg,None,240,25,16,20
Gagri Bhaji,Tripura,Non-Veg,None,220,20,14,18
Mitha Pulao,Tripura,Veg,Nuts,190,28,8,20
Bhapa Fish,Tripura,Non-Veg,None,230,26,15,18
Moukok Masala,Tripura,Non-Veg,None,240,22,16,20
Bamboo Shoot Stir Fry,Tripura,Veg,None,200,20,8,12
Kachri Pulao,Tripura,Veg,None,210,25,9,16
Pora Masala,Tripura,Veg,None,180,22,7,14
Gahat Curry,Tripura,Veg,None,190,20,8,12
Kharan Bharta,Tripura,Non-Veg,None,220,22,14,18
Ilish Bharta,Tripura,Non-Veg,None,240,25,16,20
Pani Puri Bhaji,Tripura,Veg,Gluten,210,28,10,20
Chakso Curry,Tripura,Non-Veg,None,250,22,18,22
Mitha Curry,Tripura,Veg,Nuts,190,25,7,18
Tarela Bhaji,Tripura,Veg,None,180,20,8,12
Bamboo Shoot Khichdi,Tripura,Veg,None,210,28,10,14
Fried Mitha,Tripura,Veg,Nuts,200,25,8,20
Bhapa Kachri Curry,Tripura,Veg,None,190,22,7,14
Moukok Roti,Tripura,Non-Veg,None,220,25,16,22
Mithi Bharta,Tripura,Veg,Nuts,210,28,9,20
Kachri Soup,Tripura,Veg,None,180,18,7,12
Aloo Bhaji,Tripura,Veg,None,200,20,8,14
Bamboo Shoot Stir-Fry,Tripura,Veg,None,190,22,6,12
Fried Ilish Curry,Tripura,Non-Veg,None,230,24,16,20
Pora Bhaji,Tripura,Veg,None,190,20,7,12
Chamcham Bhaji,Tripura,Veg,Dairy,200,25,9,18
Kachri Salad,Tripura,Veg,None,180,22,6,12
Ilish Masala,Tripura,Non-Veg,None,250,26,18,22
Gagri Curry,Tripura,Non-Veg,None,240,22,16,20
Moukok Soup,Tripura,Non-Veg,None,230,24,14,18
Pachra Bharta,Tripura,Veg,None,180,20,8,14
Kachri Roti,Tripura,Veg,None,200,25,8,16
Mitha Roti,Tripura,Veg,Nuts,190,28,9,20
Bhapa Bamboo Shoot,Tripura,Veg,None,180,22,7,14
Fried Mitha Roti,Tripura,Veg,Nuts,200,25,10,22
Moukok Bhaji,Tripura,Non-Veg,None,230,22,14,20
Bamboo Shoot Pulao,Tripura,Veg,None,210,28,9,16
Gahat Masala,Tripura,Veg,None,190,20,8,14
Kachri Bhaji,Tripura,Veg,None,180,22,7,12
Mitha Bharta,Tripura,Veg,Nuts,200,25,9,20
Pachra Curry,Tripura,Veg,None,180,20,7,14
Kachri Masala,Tripura,Veg,None,190,22,8,12
Chamcham Curry,Tripura,Veg,Dairy,210,25,10,20
Moukok Roti,Tripura,Non-Veg,None,230,24,16,20
Gagri Roti,Tripura,Non-Veg,None,220,22,14,18
Kachri Bharta,Tripura,Veg,None,200,20,8,12
Pora Roti,Tripura,Veg,None,190,22,7,14
Mitha Roti,Tripura,Veg,Nuts,200,28,9,18
Kachri Soup,Tripura,Veg,None,180,20,6,12
Gahat Roti,Tripura,Veg,None,190,25,8,14
Moukok Bhaji,Tripura,Non-Veg,None,240,25,16,22
Kachri Bhaji,Tripura,Veg,None,190,22,7,14
Mitha Bhaji,Tripura,Veg,Nuts,200,25,10,20
Fried Bamboo Shoot,Tripura,Veg,None,200,20,8,12
Bhapa Bhaji,Tripura,Veg,None,190,22,7,14
Chamcham Bhaji,Tripura,Veg,Dairy,200,28,10,20
Kachri Pulao,Tripura,Veg,None,210,28,9,14
Gahat Bhaji,Tripura,Veg,None,180,22,8,14
Fish Curry,Andaman,Non-Veg,Seafood,300,15,20,25
Chicken Korma,Andaman,Non-Veg,Dairy,350,10,25,30
Vegetable Pulao,Andaman,Veg,None,250,40,10,8
Tandoori Lobster,Andaman,Non-Veg,Seafood,400,10,25,30
Prawn Masala,Andaman,Non-Veg,Seafood,320,12,22,28
Coconut Rice,Andaman,Veg,None,270,45,8,5
Mutton Rogan Josh,Andaman,Non-Veg,Dairy,450,10,35,40
Tamarind Fish,Andaman,Non-Veg,Seafood,290,14,18,22
Spicy Vegetable Soup,Andaman,Veg,None,150,20,5,4
Fish Fry,Andaman,Non-Veg,Seafood,330,10,22,25
Grilled Chicken,Andaman,Non-Veg,None,280,5,15,30
Seafood Paella,Andaman,Non-Veg,Seafood,400,50,20,30
Vegetable Stir Fry,Andaman,Veg,None,200,30,8,6
Prawn Curry,Andaman,Non-Veg,Seafood,320,15,20,27
Chili Crab,Andaman,Non-Veg,Seafood,360,12,25,28
Mango Salad,Andaman,Veg,None,180,30,8,6
Banana Pancakes,Andaman,Veg,Dairy,350,45,15,12
Beef Vindaloo,Andaman,Non-Veg,None,400,15,30,35
Vegetable Korma,Andaman,Veg,Dairy,330,25,15,12
Fish Tikka,Andaman,Non-Veg,Seafood,300,8,20,22
Shrimp Scampi,Andaman,Non-Veg,Seafood,320,12,18,25
Coconut Milk Curry,Andaman,Non-Veg,"Seafood, Dairy",340,15,25,28
Papaya Salad,Andaman,Veg,None,160,35,4,7
Pineapple Rice,Andaman,Veg,None,290,55,10,12
Chicken Biryani,Andaman,Non-Veg,None,400,50,20,30
Vegetable Samosas,Andaman,Veg,None,250,30,15,8
Mutton Kebab,Andaman,Non-Veg,None,330,10,25,28
Prawn Tempura,Andaman,Non-Veg,Seafood,310,12,20,25
Curried Squid,Andaman,Non-Veg,Seafood,340,14,22,28
Jackfruit Curry,Andaman,Veg,None,280,40,8,5
Roasted Lobster,Andaman,Non-Veg,Seafood,360,10,25,30
Vegetable Stew,Andaman,Veg,None,220,25,8,7
Chicken Skewers,Andaman,Non-Veg,None,270,5,15,30
Lamb Shank,Andaman,Non-Veg,None,450,20,30,40
Seafood Chowder,Andaman,Non-Veg,"Seafood, Dairy",350,20,18,25
Coconut Chutney,Andaman,Veg,None,100,5,10,2
Sweet Potato Fries,Andaman,Veg,None,250,40,10,12
Fish Molee,Andaman,Non-Veg,Seafood,320,15,18,28
Lobster Bisque,Andaman,Non-Veg,"Seafood, Dairy",330,12,20,25
Tamarind Rice,Andaman,Veg,None,280,50,8,6
Vegetable Cutlet,Andaman,Veg,None,200,25,10,5
Spicy Crab Cakes,Andaman,Non-Veg,Seafood,340,20,22,25
Mango Chutney,Andaman,Veg,None,150,30,0,25
Grilled Prawns,Andaman,Non-Veg,Seafood,290,10,20,28
Chicken Satay,Andaman,Non-Veg,None,300,8,15,30
Vegetable Pakoras,Andaman,Veg,None,280,25,12,10
Goat Curry,Andaman,Non-Veg,None,370,15,25,30
Seafood Salad,Andaman,Non-Veg,Seafood,260,15,10,22
Spicy Lobster,Andaman,Non-Veg,Seafood,350,12,22,30
Coconut Chicken,Andaman,Non-Veg,Dairy,340,20,25,30
Prawn Biryani,Andaman,Non-Veg,Seafood,410,50,22,30
Vegetable Raita,Andaman,Veg,Dairy,140,10,5,6
Mutton Pulao,Andaman,Non-Veg,None,350,45,20,25
Tandoori Prawns,Andaman,Non-Veg,Seafood,320,10,20,28
Chana Masala,Andaman,Veg,None,280,45,10,8
Fish Tikka Masala,Andaman,Non-Veg,Seafood,350,15,20,30
Grilled Mutton,Andaman,Non-Veg,None,330,10,25,28
Vegetable Sambar,Andaman,Veg,None,220,30,8,7
Prawn Soup,Andaman,Non-Veg,Seafood,250,10,15,20
Fish Kababs,Andaman,Non-Veg,Seafood,290,8,20,22
Vegetable Biryani,Andaman,Veg,None,270,50,10,8
Spicy Mutton Curry,Andaman,Non-Veg,None,370,15,28,35
Fried Squid,Andaman,Non-Veg,Seafood,320,12,20,25
Coconut Fish,Andaman,Non-Veg,Seafood,290,15,18,25
Grilled Octopus,Andaman,Non-Veg,Seafood,340,10,22,28
